,name,prepayment_amount,body,issue_year,color,drive_unit,eng_capacity,mileage,condition,fuel_type,cleared,transmission,published_time,city,price,views,link,description,year,car_name,model
2382,"Lexus RX series, 2010",70500,Универсал,2010,Синий,Передний,4.5,2211,С пробегом,Бензин,Да,Автомат,2023-03-07 15:09:00,Душанбе,235000,69,https://somon.tj/adv/9535437_lexus-rx-series-2010/,Вагон срочно нархи хдш метемш сумдаркорай нон дора,2010,Lexus,RX series
2383,"Lexus RX series, 2011",57300,Кроссовер,2011,Белый,Передний,3.5,91,Новая,Бензин,Нет,Автомат,2023-03-07 14:38:00,Душанбе,191000,276,https://somon.tj/adv/9573126_lexus-rx-series-2011/,"вагон тоза нозада мошин дархолати хуб мебошад бе растаможка,,",2011,Lexus,RX series
2384,"Lexus RX series, 2014",67500,Внедорожник,2014,Белый,Полный,3.5,162000,С пробегом,Бензин,Нет,Автомат,2023-03-07 15:05:00,Вахдат,225000,1575,https://somon.tj/adv/9530212_lexus-rx-series-2014/,"Лексус РХ 350 Вагон 2014 
БЕ РАСТАМОЖКА 
МОШИН БЕ КАМБУДИ 
Камтарак арзон мешава тамом.",2014,Lexus,RX series
2385,"Mercedes-Benz C class, 1999",32400,Седан,1999,Серебристый,Задний,1.8,143600,Новая,Бензин + газ,Да,Автомат,2023-03-07 14:54:00,Душанбе,108000,497,https://somon.tj/adv/9573281_mercedes-benz-c-class-1999/,Мошин дар холати оли карор дорад салон фулл хама наварот кор мекна радной худаш консанер ях  катализатораш хаст мошин бе расход савдо дар назди мошин,1999,Mercedes-Benz,C class
2386,"Mercedes-Benz E class, 2008",39600,Седан,2008,Белый,Передний,3.5,163493,С пробегом,Бензин,Да,Автомат,2023-03-07 14:49:00,Худжанд,132000,120,https://somon.tj/adv/9573284_mercedes-benz-e-class-2008/,Мошин 3.5 AMG . 4 Matic. полный наварот. Балон нав .истодаги мошин. Хозир занак хай кадосян. Маблаг зарур срочна,2008,Mercedes-Benz,E class
2387,"Mercedes-Benz E class, 2010",45600,Седан,2010,Чёрный,Полный,3.5,0,Новая,Бензин,Да,Автомат,2023-03-07 14:51:00,Душанбе,152000,145,https://somon.tj/adv/8957634_mercedes-benz-e-class-2009/,Срочна Срочно Срочно балоно пачка хадавой пачка эвропа салон сиёх расход 10-12 бехад мошини хубай Мошин ягом расход надора танировка 1 Сола Срочна пул даркор Кати усто Биен бародаро Мошин 100%,2010,Mercedes-Benz,E class
2388,"Mercedes-Benz W124, 1994",16500,Седан,1994,Серебристый,Задний,2.0,0,С пробегом,Бензин + газ,Нет,Автомат,2023-03-07 14:55:00,Вахдат,55000,366,https://somon.tj/adv/9573322_mercedes-benz-w124-1994/,Дар холати хуби техники карор дорад срочна сум даркор бо арзонам мешава,1994,Mercedes-Benz,W124
2389,"Opel Astra F, 1992",8400,Седан,1992,Белый,Передний,1.6,0,С пробегом,Бензин + газ,Да,Механика,2023-03-07 15:09:00,Леваканд (Сарбанд),28000,145,https://somon.tj/adv/9573397_opel-astra-f-1992/,моши Дар холати бехтарин карор дора балон акилиматор ридуктр навай хучатои яксола краскаи раднойшай мошин ягон камбуди надора..камтар муомила дора илтимос бехуда занг назанен,1992,Opel,Astra F
2390,"Opel Astra F, 1997",11400,Хэтчбек,1997,Зелёный,Передний,1.6,111111,С пробегом,Бензин + газ,Да,Механика,2023-03-07 14:48:00,Душанбе,38000,263,https://somon.tj/adv/9573275_opel-astra-f-1997/,Мошин дар ҳолатий хуб қарор дорад саволҳо бо тариқи тилфон.,1997,Opel,Astra F
2391,"Opel Astra G, 1998",0,Хэтчбек,1998,Серебристый,Передний,1.6,0,С пробегом,Бензин,Да,Механика,2023-03-07 14:39:00,Хорог,45000,282,https://somon.tj/adv/9573215_opel-astra-g-1998/,"Мошин дар холати хуб карор дорад.
Люк
Обогрев сидени
4-то электропакет
документ до Январь 2024с 
Савдо дар пеши мошин.",1998,Opel,Astra G
