,name,prepayment_amount,body,issue_year,color,drive_unit,eng_capacity,mileage,condition,fuel_type,cleared,transmission,published_time,city,price,views,link,description,year,car_name,model
940,"Mercedes-Benz S class, 2016",0,Седан,2016,Другой цвет,Полный,3.5,123456,С пробегом,Дизель,Да,Автомат,2023-03-08 11:38:00,Душанбе,525000,138,https://somon.tj/adv/9577229_mercedes-benz-s-class-2016/,"Европа!
2016 LONG FULL!
Проекция!
4камера 🎥
Задаги надора 
Туй тамоман гаштаги нест !",2016,Mercedes-Benz,S class
941,"Mercedes-Benz Sprinter, 2000",19800,Универсал,2000,Зелёный,Задний,2.9,12345,Новая,Дизель,Да,Механика,2023-03-08 11:43:00,Худжанд,66000,166,https://somon.tj/adv/9577254_mercedes-benz-sprinter-2000/,тех то май балонҳо 60% матор муссо турбина5 тога,2000,Mercedes-Benz,Sprinter
942,"Mercedes-Benz Sprinter, 2002",25500,Универсал,2002,Белый,Передний,2.2,123456,С пробегом,Дизель,Да,Механика,2023-03-05 10:25:00,Худжанд,85000,900,https://somon.tj/adv/9291823_mercedes-benz-sprinter-2002/,"СОЛАШ 2002 
МОТОР 313
Дар Автомат
4 таи
Техасмотр то август",2002,Mercedes-Benz,Sprinter
943,"Mercedes-Benz Sprinter, 2006",28500,Универсал,2006,Другой цвет,Задний,2.6,0,С пробегом,Дизель,Да,Механика,2023-03-08 11:34:00,Душанбе,95000,137,https://somon.tj/adv/9577209_mercedes-benz-sprinter-2006/,Мошин дар холати хуб карор дорад.,2006,Mercedes-Benz,Sprinter
944,"Mercedes-Benz W124, 1994",10800,Универсал,1994,Серебристый,Задний,2.0,318208,Новая,Дизель,Да,Механика,2023-03-08 11:47:00,Худжанд,36000,1581,https://somon.tj/adv/9397987_mercedes-benz-w124-1994/,мошин дар холати хуб карор дорад малумоти бештар бо телефон ечка,1994,Mercedes-Benz,W124
945,"Opel Astra F, 1994",8700,Седан,1994,Фиолетовый,Передний,1.4,240869,С пробегом,Бензин + газ,Да,Механика,2023-03-08 11:38:00,Худжанд,29000,129,https://somon.tj/adv/9538373_opel-vectra-b-1994/,"ХУЧЧАТ ЯК СОЛА.
ЗАДАГИ ЧОЯШ НЕСТ.
ЧАШКА 100%.
БИСЕР АРЗОН НАМЕШАД",1994,Opel,Astra F
946,"Opel Astra F, 1997",0,Хэтчбек,1997,Золотистый,Передний,1.6,12557,С пробегом,Бензин,Да,Механика,2023-03-08 11:32:00,Дангара,38000,294,https://somon.tj/adv/9577195_opel-astra-f-1997/,дар холати хуб карор дорад 12 мох танирофка срочна срочна срочна,1997,Opel,Astra F
947,"Opel Astra G, 1998",14550,Хэтчбек,1998,Белый,Передний,1.6,195000,С пробегом,Бензин + газ,Да,Механика,2023-03-08 11:49:00,Истаравшан,48500,48,https://somon.tj/adv/9524877_opel-astra-g-1998/,"Opel Astra G 1998✅
Матор 100%✅
Каробка 100%✅
Хадавой 100%✅
Кондиционер 100%✅
Балоношам нав 100%✅
Газ евро 4 100%✅
Аккумулятор нав 100%✅


Бародаро касе мошинхар бошад занг занад мошин дар холати бехтарин коженный салон  матораш (Ekotek) документаш то мохи Август 2 электро стёкла кондиционераш кор мекунад матор ба хадавойба каробкаба гарантя метиям мошин тозаяк кам расход ягона кор дорад кузувашба частично хамин исташбиям мешад гашта, мошин иваз намешад!!!Мошинхаро занг занан бехуда гам натиен!!!

(Не болшой торг!!!)",1998,Opel,Astra G
948,"Opel Astra G, 2000",14100,Седан,2000,Серебристый,Передний,1.6,0,С пробегом,Бензин + газ,Да,Механика,2023-03-08 11:36:00,Душанбе,47000,173,https://somon.tj/adv/9577219_opel-astra-g-2000/,дар холати хуб карор дорад,2000,Opel,Astra G
949,"Opel Astra G, 2002",16800,Хэтчбек,2002,Чёрный,Передний,1.6,123456,Новая,Бензин,Да,Механика,2023-03-08 11:37:00,Худжанд,56000,170,https://somon.tj/adv/9566063_opel-astra-g-2002/,"МОШИН ЯК ДАСТ.
КОНДИТЦИОНЕР КОР МЕКУНАД.
4 БАЛОН НАВ.
СРОЧНО бисер арзон намешад.",2002,Opel,Astra G
950,"Opel Astra G, 2008",21600,Универсал,2008,Другой цвет,Передний,1.6,25000,Новая,Бензин,Да,Механика,2023-03-08 11:39:00,Душанбе,72000,60,https://somon.tj/adv/9568068_opel-astra-g-2008/,ВАГОН инжектор растамошка шидагия тамом,2008,Opel,Astra G
951,"Opel Astra H, 2006",18600,Универсал,2006,Синий,Передний,1.6,0,С пробегом,Бензин,Да,Механика,2023-03-08 11:41:00,Душанбе,62000,43,https://somon.tj/adv/9577258_opel-astra-h-2006/,срочно срочно срочно растамошка кадагием 22 02 2023 харидори аник боша бо муомила мешава,2006,Opel,Astra H
952,"Opel Astra H, 2007",20100,Хэтчбек,2007,Другой цвет,Передний,1.6,142235,Новая,Бензин,Да,Механика,2023-03-08 11:39:00,Худжанд,67000,80,https://somon.tj/adv/9559982_opel-astra-h-2007/,"7мох пеш а вагон гирифтаги мошин  як даст матор,хадовой, кузов зур,кондисанер ях,салон тоза    
пул зарур срочна",2007,Opel,Astra H
953,"Opel Astra H, 2008",20400,Хэтчбек,2008,Серебристый,Передний,1.6,202178,С пробегом,Бензин,Да,Механика,2023-03-08 11:35:00,Худжанд,68000,112,https://somon.tj/adv/9577217_opel-astra-h-2008/,Мошин дар холати хуб карор дорад 07.03.2023 даромадаги,2008,Opel,Astra H
954,"Opel Astra H, 2010",19800,Универсал,2010,Серебристый,Передний,1.7,0,С пробегом,Дизель,Да,Механика,2023-03-08 11:45:00,Душанбе,66000,58,https://somon.tj/adv/9478140_opel-astra-h-2010/,"мошин вагон
авто пилот 
дачик дожди 
парктроник 
обагреф сидени
авто фари
климат контрол
хадовка 💯
матор 💯
каробка 💯
Кузов задаги пусидаги надора",2010,Opel,Astra H
955,"Opel Vectra B, 1997",9000,Седан,1997,Другой цвет,Передний,1.6,12345,С пробегом,Бензин + газ,Да,Механика,2023-03-08 11:54:00,Худжанд,30000,133,https://somon.tj/adv/9577324_opel-vectra-b-1997/,мошин 100%,1997,Opel,Vectra B
956,"Opel Vectra B, 1999",14400,Седан,1999,Серебристый,Передний,1.8,190000,С пробегом,Бензин + газ,Да,Механика,2023-03-08 11:35:00,Вахдат,48000,73,https://somon.tj/adv/9577213_opel-vectra-b-1999/,мошин дар холати хуб карор дорад дар точикистон кам гаштаги 8 хучат  мошин ягон кор надара факат мегири мегарди,1999,Opel,Vectra B
957,"Opel Zafira, 2005",25500,Минивен,2005,Другой цвет,Передний,2.2,0,С пробегом,Бензин + газ,Да,Автомат,2023-03-08 11:43:00,Истаравшан,85000,152,https://somon.tj/adv/9577269_opel-zafira-2005/,мошин 100% занг занетон сухбат мекунем,2005,Opel,Zafira
958,"Opel Zafira, 2007",19500,Минивен,2007,Серебристый,Передний,1.8,1234,С пробегом,Дизель,Да,Механика,2023-03-08 11:46:00,Душанбе,65000,68,https://somon.tj/adv/9540705_opel-zafira-2008/,"Opel ZEFIRO
Год выпуск-2007",2007,Opel,Zafira
959,"Toyota Avensis, 2007",24000,Седан,2007,Серебристый,Передний,1.6,2250,С пробегом,Бензин,Да,Механика,2023-03-08 11:43:00,Истаравшан,80000,40,https://somon.tj/adv/9486772_toyota-avensis-2007/,"обращайтесь только по этому номеру! Барои маълумот ба ин номер занг занед! 
4 балон нав✓
дакумент 1сола 100%✓
вагон 22 декабр омадаги✓",2007,Toyota,Avensis
960,"Toyota Camry, 2008",29400,Седан,2008,Белый,Передний,2.4,64,С пробегом,Бензин,Да,Автомат,2023-03-08 11:46:00,Душанбе,98000,143,https://somon.tj/adv/9545788_toyota-camry-2008/,"срочно!!! 
Toyota Camry 2008
Америка состоянии бехад хуб",2008,Toyota,Camry
961,"Toyota Camry, 2010",42000,Седан,2010,Белый,Передний,2.5,14,Новая,Бензин,Да,Автомат,2023-03-08 11:46:00,Душанбе,140000,126,https://somon.tj/adv/9385541_toyota-camry-2010/,"срочно!!! Вагон
Toyota Camry 2010 se America ска 
состояние идеальное
старт стоп
люк JBL
отпечаток дверей сенсор
пленкаи оригинали сафеди трехкомпоненти 7000 сомона задагиай
родной цвет сурх",2010,Toyota,Camry
962,"Toyota Camry, 2011",43500,Седан,2011,Белый,Передний,2.5,240000,С пробегом,Бензин,Да,Автомат,2023-03-08 11:34:00,Душанбе,145000,93,https://somon.tj/adv/9568725_toyota-camry-2011/,Мошин дар холати хуби техники карор дорад. Харидори аник занг занад! Срочно бонархи  дастраст!,2011,Toyota,Camry
963,"Toyota Camry, 2018",0,Седан,2018,Белый,Передний,2.5,63000,С пробегом,Бензин,Да,Автомат,2023-03-08 11:43:00,Душанбе,325000,104,https://somon.tj/adv/9391424_toyota-camry-2018/,"Toyota Camry 2018 
в хорошем состоянии
комплектация ФУЛЛ
панорама JBL",2018,Toyota,Camry
964,"Toyota Fielder, 2009",25500,Фургон,2009,Серебристый,Передний,1.8,67000,С пробегом,Бензин,Да,Автомат,2023-03-06 07:20:00,Душанбе,85000,608,https://somon.tj/adv/9539533_toyota-fielder-2009/,2009 Toyota Fielder. Мошин тозаяй. 67000 гаштагӣ. Алиш намешавад. Харидори конретний занг занад. Раҳмат,2009,Toyota,Fielder
965,"Toyota Land Cruiser Prado, 2008",66600,Кроссовер,2008,Белый,Полный,4.0,186,Новая,Бензин,Да,Автомат,2023-03-08 11:46:00,Душанбе,222000,55,https://somon.tj/adv/9575117_toyota-land-cruiser-prado-2008/,ВАГОН,2008,Toyota,Land Cruiser Prado
966,"Toyota Mark II, 1999",0,Седан,1999,Белый,Передний,2.0,0,С пробегом,Бензин + газ,Да,Автомат,2023-03-08 11:54:00,Душанбе,17000,114,https://somon.tj/adv/9577323_toyota-mark-ii-1999/,"Срочно! Арзон мешава, занг занен!",1999,Toyota,Mark II
967,"Toyota Prius, 2009",21600,Хэтчбек,2009,Серебристый,Передний,1.8,91,С пробегом,Бензин,Нет,Автомат,2023-03-08 11:54:00,Душанбе,72000,188,https://somon.tj/adv/9577327_toyota-prius-2009/,Цена без растаможка срочно!!! Растаможкаш 18хазор сомон мешава,2009,Toyota,Prius
968,"Toyota RAV 4, 2010",38940,Кроссовер,2010,Чёрный,Полный,2.4,12345,С пробегом,Бензин + газ,Да,Автомат,2023-03-03 20:12:00,Душанбе,129800,752,https://somon.tj/adv/9550853_toyota-rav-4-2010/,"Модель: Toyota RAV 4 
производство 🚘 ЕВРОПА 
год выпуск: 2010 
комплектация: Full option 
трансмиссия: Автомат
топливо: Бензин 
расходы: 10-12л
двигатель: 2.0 VVT-i
количество дверей: 5 
мощность: 158лс 
максимальная скорость: 220км/ч
объем топливного бака: 60л
техосмотр  ✅",2010,Toyota,RAV 4
969,"Toyota Rumion, 2008",14970,Универсал,2008,Белый,Передний,1.8,83000,С пробегом,Бензин,Нет,Автомат,2023-03-08 11:42:00,Душанбе,49900,442,https://somon.tj/adv/9099113_toyota-rumion-2008/,"Мошин вагон full дар роҳ то 15.03.2023 мераса.
Бе роҳкиро бе растаможка 
роҳкиро 20000 сомони
 растаможка 10000 сомони 
Мошин нархи дубай мондам
Перекидка кардаги мошин таёр
срочно сум даркор",2008,Toyota,Rumion
970,"Toyota Voxy, 2009",25050,Универсал,2009,Чёрный,Передний,2.0,15555,С пробегом,Бензин,Да,Автомат,2023-03-08 11:53:00,Душанбе,83500,46,https://somon.tj/adv/9442873_toyota-voxy-2008/,Вагон Вагон..Мошин нав даромад 2 Дар Электрони Фул ....Дигар намуди Мошинхо дорем Мархамат Филдер Марк Х ...Илтимос бе худа занг назанед,2009,Toyota,Voxy
971,"Toyota Wish, 2012",30000,Седан,2012,Белый,Передний,1.8,97000,С пробегом,Бензин,Да,Автомат,2023-03-05 12:20:00,Душанбе,100000,703,https://somon.tj/adv/9561186_toyota-wish-2012/,Вагон,2012,Toyota,Wish
972,"ВАЗ 2114, 2004",7500,Хэтчбек,2004,Серебристый,Передний,1.6,139000,С пробегом,Бензин,Да,Механика,2023-03-08 11:18:00,Бободжон Гафуров,25000,159,https://somon.tj/adv/9576512_vaz-2114-2004/,Автомашина в отличном состояний. Снята с учета!,2004,ВАЗ,2114
973,"ВАЗ 2114, 2008",8100,Хэтчбек,2008,Чёрный,Передний,1.6,123456,С пробегом,Бензин + газ,Да,Механика,2023-03-08 11:31:00,Душанбе,27000,20,https://somon.tj/adv/9577191_vaz-2114-2008/,Пул даркор срочна,2008,ВАЗ,2114
974,"Aro 10, 2007",16500,Седан,2007,Серебристый,Передний,2.2,0,С пробегом,Бензин,Да,Механика,2023-03-08 11:20:00,Вахдат,55000,54,https://somon.tj/adv/9577084_aro-10-2007/,Срочана фуруши,2007,Aro,10
975,"BMW 5 series, 2012",51000,Седан,2012,Серебристый,Задний,2.5,123456,С пробегом,Бензин,Да,Автомат,2023-03-07 09:19:00,Душанбе,170000,281,https://somon.tj/adv/9571203_bmw-5-series-2012/,Мошин дар холати хуби техники карор дорад люк кафою пеш обагрев хамаи намуди наварота дарад дар назди вагон нав омадаги нозада ягон намуди расход надорад нав!,2012,BMW,5 series
976,"BMW 5 series, 2015",0,Седан,2015,Другой цвет,Полный,3.0,161000,Новая,Дизель,Да,Автомат,2023-03-08 11:07:00,Худжанд,330000,354,https://somon.tj/adv/9575866_bmw-5-series-2015/,"BMW M-Packet 530D
Вагон!!! Корея
Свет шварц карбон
Мандарин салон
Руль сиденье пороги все М
5- камера 
Доводчики дверей
Багажник открывается с помощью ноги 
Без ключевой доступ
Глограмма
Люк
Фари Led 
и ещё многое.",2015,BMW,5 series
977,"Chevrolet Captiva, 2007",16500,Седан,2007,Серебристый,Передний,2.2,0,С пробегом,Бензин,Да,Механика,2023-03-08 11:20:00,Вахдат,55000,145,https://somon.tj/adv/9577124_chevrolet-captiva-2007/,Срочна фуруши,2007,Chevrolet,Captiva
978,"Chevrolet Cruze, 2010",25500,Седан,2010,Белый,Передний,1.8,117000,Новая,Бензин,Да,Автомат,2023-03-08 16:25:00,Душанбе,85000,50,https://somon.tj/adv/9495407_chevrolet-cruze-2010/,Вагон нозада Мошин фулл нав Гумрук шид хучатош солона,2010,Chevrolet,Cruze
979,"Daewoo Lanos, 1996",0,Седан,1996,Белый,Передний,1.6,0,С пробегом,Бензин + газ,Да,Механика,2023-03-08 11:12:00,Гиссар,13000,34,https://somon.tj/adv/9577082_daewoo-lanos-1996/,срочно пул даркор бо савдо меша да хами номеро занг зане 909 39 54 54.,1996,Daewoo,Lanos
980,"Daewoo Matiz, 1998",0,Хэтчбек,1998,Зелёный,Передний,0.8,123456,Новая,Бензин,Да,Механика,2023-03-08 11:15:00,Канибадам,24000,797,https://somon.tj/adv/9538871_daewoo-matiz-1998/,мошин задаги пусидаги варит не кор надорад,1998,Daewoo,Matiz
981,"Daewoo Matiz, 2008",8400,Хэтчбек,2008,Другой цвет,Передний,1.2,275000,С пробегом,Бензин,Да,Механика,2023-03-08 11:24:00,Вахдат,28000,73,https://somon.tj/adv/9577149_daewoo-matiz-2008/,зурай бо савдо меша,2008,Daewoo,Matiz
982,"Daewoo Nexia, 1995",0,Седан,1995,Белый,Передний,1.6,111111,С пробегом,Бензин + газ,Да,Механика,2023-03-08 11:24:00,Душанбе,14500,14,https://somon.tj/adv/9577151_daewoo-nexia-1995/,"Мошин нахадуяй мегири хайш мекни 
Савдош да пеши мошин",1995,Daewoo,Nexia
983,"Daewoo Nexia, 1996",7500,Седан,1996,Серебристый,Передний,1.6,123456,С пробегом,Газ,Да,Механика,2023-03-08 11:31:00,Джаббор Расулов,25000,62,https://somon.tj/adv/9577193_daewoo-nexia-1996/,Мошин хороший состояние!,1996,Daewoo,Nexia
984,"Daewoo Tico, 1996",0,Хэтчбек,1996,Белый,Передний,0.8,0,Новая,Бензин + газ,Да,Механика,2023-03-08 11:17:00,Турсунзаде,24000,61,https://somon.tj/adv/9577110_daewoo-tico-1996/,пико егон камбуди надора мегири хае мекини,1996,Daewoo,Tico
985,"Honda CR-V, 2013",70500,Кроссовер,2013,Серебристый,Полный,2.4,125000,Новая,Бензин,Да,Автомат,2023-03-08 11:25:00,Душанбе,235000,37,https://somon.tj/adv/8918513_honda-cr-v-2013/,"Корейская машина
Без пробега то Таджикистана
Кожа Электра сиденье
Монитор камера
Полный привод
Стоп старт
Новые шины и диски
Ксеноновый фары
В заводском окрасе",2013,Honda,CR-V
986,"Honda Jazz, 2007",16200,Хэтчбек,2007,Серебристый,Передний,1.4,169000,С пробегом,Бензин,Да,Механика,2023-03-08 11:21:00,Душанбе,54000,655,https://somon.tj/adv/9024171_honda-jazz-2007/,"Honda Jazz  Вагон... 
Машина в хорошем состоянии.Делать ничего не нужно.Вся обслужена.Ходовая в полной порядке.Салон чистый и ухожен.Все абсолютно работает.
Безопасность Центральный замок • Подушка безопасности (Airbag) • ABS • Усилитель руля • Эл. стеклоподъемники • Абагрев сиденья Кондиционер • Электропакет.
Мультимедиа Аукс • CD • MP3.
По всем вопросам звоните....",2007,Honda,Jazz
987,"Hyundai Elantra, 2011",26400,Седан,2011,Белый,Передний,1.8,0,С пробегом,Бензин + газ,Да,Автомат,2023-03-08 11:05:00,Душанбе,88000,87,https://somon.tj/adv/9577031_hyundai-elantra-2011/,Мошинчарам састаяниш созай матор каробка созай берунш кор дора тамом илтимос одамой мошинхар занг занед!,2011,Hyundai,Elantra
988,"Hyundai Elantra, 2017",33000,Седан,2017,Серебристый,Передний,2.0,82000,Новая,Бензин,Нет,Автомат,2023-03-08 11:20:00,Душанбе,110000,231,https://somon.tj/adv/9572392_hyundai-elantra-2017/,мошин вагон фулай срочно,2017,Hyundai,Elantra
989,"Hyundai Grand Starex, 2001",13800,Седан,2001,Белый,Задний,3.0,0,С пробегом,Газ,Да,Механика,2023-03-08 11:25:00,Душанбе,46000,1002,https://somon.tj/adv/9398893_hyundai-grand-starex-2001/,Мотор нав ходовой нав балон 4 нав акум нав 100%.,2001,Hyundai,Grand Starex
990,"Hyundai Sonata, 2011",25200,Седан,2011,Белый,Передний,2.0,81000,С пробегом,Газ,Да,Автомат,2023-03-08 11:24:00,Душанбе,84000,190,https://somon.tj/adv/9507582_hyundai-sonata-2011/,мошин нозада кураскаш сарапина надора 1 сол хучат 4 балон нав  майтафони манитор дор мошин  ягон канбуди надора сурочна сурочна,2011,Hyundai,Sonata
991,"Kia K series, 2011",33600,Седан,2011,Белый,Передний,2.0,180000,Новая,Бензин,Да,Автомат,2023-03-08 11:13:00,Худжанд,112000,68,https://somon.tj/adv/9577059_kia-k-series-2011/,Мошин вагон Полни наварот фул факат харидори аник,2011,Kia,K series
992,"Lexus GS series, 2015",63600,Седан,2015,Белый,Задний,3.5,70,С пробегом,Бензин,Нет,Автомат,2023-03-08 11:18:00,Душанбе,212000,59,https://somon.tj/adv/9577117_lexus-gs-series-2015/,Мошин дар холити хуб аст тоза ягом камбуди надора бе фойда занг назанен илтимос,2015,Lexus,GS series
993,"Lexus LX series, 2009",0,Внедорожник,2009,Белый,Полный,5.7,1234,С пробегом,Бензин,Да,Автомат,2023-03-08 11:08:00,Душанбе,332000,116,https://somon.tj/adv/9303545_lexus-lx-series-2010/,срочна  дар холати хуб..,2009,Lexus,LX series
994,"Mercedes-Benz C class, 1994",10500,Седан,1994,Белый,Задний,1.8,30000,С пробегом,Бензин + газ,Да,Механика,2023-03-08 11:22:00,Абдурахмони Джоми,35000,207,https://somon.tj/adv/9577139_mercedes-benz-c-class-1994/,срошна фуруши состояние созай,1994,Mercedes-Benz,C class
995,"Mercedes-Benz C class, 1998",20999,Седан,1998,Серебристый,Задний,1.8,261000,С пробегом,Бензин + газ,Да,Автомат,2023-03-08 11:27:00,Худжанд,69999,6256,https://somon.tj/adv/8635986_mercedes-benz-c-class-1998/,"Состояниш зур. Ходовой 100%. 10л газки 80км мегардад. Кондиционер, люк и автопилот.",1998,Mercedes-Benz,C class
996,"Mercedes-Benz GL class, 2014",0,Внедорожник,2014,Чёрный,Полный,5.0,1234,С пробегом,Бензин,Да,Автомат,2023-03-08 11:07:00,Душанбе,385000,161,https://somon.tj/adv/9561628_mercedes-benz-gl-class-2014/,Дар  холати  хубб,2014,Mercedes-Benz,GL class
997,"Mercedes-Benz S class, 2016",0,Седан,2016,Золотистый,Полный,5.5,45000,С пробегом,Бензин,Да,Автомат,2023-03-08 11:07:00,Душанбе,740000,184,https://somon.tj/adv/9188468_mercedes-benz-s-class-2016/,МАYBACH,2016,Mercedes-Benz,S class
998,"Mercedes-Benz Sprinter, 2001",21000,Универсал,2001,Белый,Задний,2.2,123,С пробегом,Дизель,Да,Механика,2023-03-08 11:09:00,Худжанд,70000,173,https://somon.tj/adv/9577071_mercedes-benz-sprinter-2001/,в хорошем состояние,2001,Mercedes-Benz,Sprinter
999,"Mercedes-Benz V class, 2019",0,Минивен,2019,Чёрный,Задний,2.2,60000,С пробегом,Дизель,Да,Автомат,2023-03-06 15:42:00,Душанбе,462000,3105,https://somon.tj/adv/8717267_mercedes-benz-v-class-2019/,мошин дар холати хуби техники карор дорад,2019,Mercedes-Benz,V class
1000,"Mercedes-Benz W124, 1993",12510,Седан,1993,Серебристый,Задний,2.5,294582,С пробегом,Дизель,Да,Механика,2023-03-08 11:10:00,Худжанд,41700,254,https://somon.tj/adv/9577073_mercedes-benz-w124-1993/,"Mercedes Benz Sport Line
Матор 250 усилини 
Каробка 5таи 
Салон клетка 
Люк 
Задний шторка электроний 
Хадавой матор 100 фоиз 
Диск оригинал хром
4 та балон нав 
Ягончош задаги алиш шудаги не 
Мошин кораш нес мегири хай мекуни факат",1993,Mercedes-Benz,W124
1001,"Mitsubishi Outlander, 2009",36000,Кроссовер,2009,Белый,Передний,2.4,224000,С пробегом,Бензин,Да,Автомат,2023-03-08 11:24:00,Душанбе,120000,40,https://somon.tj/adv/9577125_mitsubishi-outlander-2009/,"Европа 
Састаяниш хуб",2009,Mitsubishi,Outlander
1002,"Mitsubishi Pajero, 2003",17700,Внедорожник,2003,Золотистый,Полный,3.5,123456,С пробегом,Бензин + газ,Да,Автомат,2023-03-08 11:15:00,Душанбе,59000,104,https://somon.tj/adv/9577100_mitsubishi-pajero-2003/,"Дар холати зур.мотор, коропка 100%.гази еврочор.ай учет снят кадагияй.мошини майда боша алишам мешава.Бо муомила дора",2003,Mitsubishi,Pajero
1003,"Nissan Maxima, 2001",11100,Седан,2001,Серебристый,Передний,3.0,234567,С пробегом,Бензин + газ,Да,Механика,2023-03-08 11:11:00,Душанбе,37000,41,https://somon.tj/adv/9484862_nissan-maxima-2001/,Максимаи тоза дубайка гупкават кардаги каробка матор хадавой 100% хучатош то охири сола газ ⛽️ евро 4 алишам меша ба мошини арзонтар болоиш сум мада...,2001,Nissan,Maxima
1004,"Opel Astra F, 1992",0,Седан,1992,Красный,Передний,1.6,429455,С пробегом,Газ,Да,Механика,2023-03-08 11:28:00,Душанбе,19000,168,https://somon.tj/adv/9577169_opel-astra-f-1992/,"Чашкахои нав 
Аколмуятор нав
Система тормуз калотки нав
Трамблёр нав
Масла нав
Балони акиб 50%
Хучати солона надора
Номрои аник 931320070
Сабаби фурухтан хорича мерам",1992,Opel,Astra F
1005,"Opel Astra F, 1993",0,Седан,1993,Другой цвет,Передний,1.6,123456,С пробегом,Бензин + газ,Да,Механика,2023-03-08 11:19:00,Душанбе,21500,200,https://somon.tj/adv/9577123_opel-astra-f-1993/,"Срочно.холатш зурай.Газу бензин кор мекна.хучати як сола дора.ду балонш нав.мотор,коропка,ходовойш зуран.чашкахош варит доран.бо муомила мешава",1993,Opel,Astra F
1006,"Opel Astra F, 1995",12000,Хэтчбек,1995,Зелёный,Передний,1.6,124,С пробегом,Бензин,Да,Механика,2023-03-08 11:19:00,Душанбе,40000,127,https://somon.tj/adv/9577120_opel-astra-f-1995/,В хорошем состоянии,1995,Opel,Astra F
1007,"Opel Astra F, 1997",10500,Универсал,1997,Зелёный,Передний,1.6,1234,С пробегом,Бензин + газ,Да,Механика,2023-03-08 11:06:00,Душанбе,35000,85,https://somon.tj/adv/9577002_opel-astra-f-1997/,Авто в хорошем состояние хадавой матор кузов всё нормально документы на год салон чисти ухожени шини тоже нормальный остальни вопросы по телефону,1997,Opel,Astra F
1008,"Opel Astra G, 2001",15600,Хэтчбек,2001,Чёрный,Передний,1.6,1234,С пробегом,Бензин + газ,Да,Механика,2023-03-08 11:22:00,Вахдат,52000,227,https://somon.tj/adv/9577131_opel-astra-g-2001/,Мошин хамаш садфоиз яксола танирофка.срочна срочна?,2001,Opel,Astra G
1009,"Opel Astra G, 2006",28500,Универсал,2006,Другой цвет,Передний,1.6,123,С пробегом,Бензин,Да,Механика,2023-03-08 11:07:00,Душанбе,95000,189,https://somon.tj/adv/9577054_opel-astra-g-2006/,моши дар холати хуб карор дорад сол 2006 матор1.6 инжектор свет блур 4 балон нав мошин бехад тозахай ВАГОН,2006,Opel,Astra G
1010,"Opel Astra H, 2007",20400,Хэтчбек,2007,Другой цвет,Передний,1.6,213878,С пробегом,Бензин,Да,Механика,2023-03-08 11:01:00,Худжанд,68000,95,https://somon.tj/adv/9577040_opel-astra-h-2007/,мошин дар холати хуб карор дорад нав омадаги,2007,Opel,Astra H
1011,"Opel Astra H, 2010",18000,Универсал,2010,Белый,Передний,1.7,178000,С пробегом,Дизель,Да,Механика,2023-03-08 11:14:00,Худжанд,60000,176,https://somon.tj/adv/9449619_opel-astra-h-2010/,"Opel Astra H. Год выпуска 2010. Машина находиться в отличном состояние. Очень экономичная машина. Чистый и ухожанный салон. Не битая. Не крашенная (краска родная). Вложения не требует. 
- автопилот.
- датчик дождя.
- авто свет.
- борт компьютер.
- климмат.контролл.
- кондиционнер работает 100%.
- магнитафон с поддержкой АUX.
- расход 6-6.5л/100км.
- масло и фильтр замененно.
Звонить конкретным покупателям.
Прошу по просту не беспокоить!!!",2010,Opel,Astra H
1012,"Opel Combo, 2006",17700,Фургон,2006,Белый,Передний,1.4,179000,С пробегом,Бензин,Да,Механика,2023-03-08 12:40:00,Душанбе,59000,55,https://somon.tj/adv/9577167_opel-combo-2006/,Opel Combo вагон,2006,Opel,Combo
1013,"Opel Meriva, 2011",27000,Кроссовер,2011,Мокрый асфальт,Передний,1.4,167,С пробегом,Бензин,Нет,Механика,2023-03-08 11:29:00,Гиссар,90000,35,https://somon.tj/adv/9222564_opel-meriva-2011/,мошин вагон нав омад кадоми хара растамочка каде метием радной краска задаги пусидагишда гаранти хама наварота дора,2011,Opel,Meriva
1014,"Opel Zafira, 2007",22800,Универсал,2007,Красный,Передний,2.2,175,С пробегом,Бензин,Да,Механика,2023-03-08 11:29:00,Душанбе,76000,57,https://somon.tj/adv/9370067_opel-zafira-2007/,мошин вагон хама наварота дора камбуди надора ганда тозахай,2007,Opel,Zafira
1015,"Toyota Axio, 2008",26550,Седан,2008,Белый,Передний,1.5,90000,Новая,Бензин,Да,Автомат,2023-03-08 11:17:00,Душанбе,88500,39,https://somon.tj/adv/9498586_toyota-axio-2008/,"Тойота Королла Аксио. 2008
✅Состояние Новый
✅Салон Мебель
✅Климат Контроль
✅Фаро Лупа
✅Диски Литые
✅Кондиционер🥶
✅Печка 🔥
✅Растаможка",2008,Toyota,Axio
1016,"Toyota Axio, 2010",30000,Седан,2010,Белый,Передний,1.5,79265,С пробегом,Бензин,Да,Автомат,2023-03-08 11:12:00,Душанбе,100000,25,https://somon.tj/adv/9376054_toyota-axio-2010/,"ВАГОН нав дромад Трёхкомнатная 
Эко режим расход даруни шахр 5,6л. 
2 калит дора радной
Рулавой 200%
Матор 200%
Каробка 200% 
Хадавой 200%  Тупчабарин 
Радной пробег 79500км. 
Дар холати бехтарин карор дорад
Павароти 46 даруни стаянка",2010,Toyota,Axio
